symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 13:05:00+00:00,235.72,235.89,235.65,235.8599,19447.0,369.0,235.767302
TSLA,2023-08-14 13:06:00+00:00,235.86,235.86,235.6,235.6,11474.0,343.0,235.707524
TSLA,2023-08-14 13:07:00+00:00,235.63,235.7,235.51,235.65,14449.0,309.0,235.638424
TSLA,2023-08-14 13:08:00+00:00,235.65,235.8,235.65,235.8,9556.0,289.0,235.699708
TSLA,2023-08-14 13:09:00+00:00,235.8,235.976,235.78,235.96,16481.0,432.0,235.8965
TSLA,2023-08-14 13:10:00+00:00,235.93,235.9695,235.81,235.9,20664.0,447.0,235.899583
TSLA,2023-08-14 13:11:00+00:00,235.91,236.06,235.81,235.982,29463.0,574.0,235.953283
TSLA,2023-08-14 13:12:00+00:00,235.98,236.06,235.84,236.06,12959.0,288.0,235.949305
TSLA,2023-08-14 13:13:00+00:00,236.0497,236.06,235.89,236.0,17415.0,380.0,235.951831
TSLA,2023-08-14 13:14:00+00:00,235.9,236.09,235.9,236.0,13870.0,306.0,236.032889
TSLA,2023-08-14 13:15:00+00:00,236.06,236.19,236.0,236.03,22606.0,495.0,236.100247
TSLA,2023-08-14 13:16:00+00:00,236.04,236.1,235.78,235.8352,31905.0,653.0,235.948879
TSLA,2023-08-14 13:17:00+00:00,235.75,235.8,235.6,235.6,21213.0,534.0,235.666861
TSLA,2023-08-14 13:18:00+00:00,235.618,235.81,235.55,235.8,17284.0,370.0,235.686215
TSLA,2023-08-14 13:19:00+00:00,235.83,235.8499,235.6638,235.71,12326.0,220.0,235.760288
TSLA,2023-08-14 13:20:00+00:00,235.71,235.73,235.65,235.65,17998.0,271.0,235.669055
TSLA,2023-08-14 13:21:00+00:00,235.78,235.81,235.68,235.74,13599.0,281.0,235.750806
TSLA,2023-08-14 13:22:00+00:00,235.74,235.74,235.59,235.63,21026.0,373.0,235.627031
TSLA,2023-08-14 13:23:00+00:00,235.5814,235.61,235.36,235.55,28074.0,765.0,235.511965
